,review_cleaned_lemmatized,overall,sentiment
11943,part heavy solid seat roomy nicely shape solid construction cant pick seat base fall roll move seat lift pretty high adjusts nice low lot range height seat hard thick plastic glossy dont find slippery im sure people slide seat seem fine also wheel roll around fine carpet hard floor even im sit castor wheel hard push hole assembly boyfriend price nice quality stool comfortable sit love assort color bad green one cost much,5,1
40301,job well mx 882 mx 892hate cheap one dont work work well highly recommend,5,1
23467,thing awesome work small business originally intend use properly divide section price book get rid divider add page 16 section currently 8 divider receive notetabs couldnt want keep instead use mark different section pocket pokeacutedex im lifelong gamer page book thin initially concerned wouldnt able remove tab page would tear come easy use thin page imagine could use abut anything rest randomly use home much useful regular divider one able use create section book ability remove reapply wonderful dont know many time reapplied dont intend move around much far left sticky residue page remove either,5,1
7189,today tape couple box shipping able test tape dispenser let say work great tape good quality there generous roll dispenser easy use tape doesnt get stuck tangle stick one hand use easy since bulky heavy store anywhere,5,1
31453,ive printer month work flawlessly every time option printing two side document really save paperi print lot study guide class love fact get duplex printing home wireless setup breeze printer stayed connect network long ive print quickly computer network would recommend anybody look good reliable laser printer,5,1
23770,super product simple attractive highly functional short note tab theyre suppose cant always say product dayshighly recommend,5,1
46464,great board price think make use sheet home depot one already come frame hardware 2 magnet marker eraser hardware plus mount somewhere permanently magnet great put paper note white board marker work great fine tip eraser cap great since dont use finger overall great board great size,5,1
37787,printer great ive try printing photo piece photo paper provide look unbelievably good fast printing black white toothe setup instruction incredibly clear get network run incredibly quickly instruction able print iphone clear easy complete love able print phoneits fairly big unit small space available check dimension,5,1
48360,calendar work would recommend anyone simple yet effective recommend one,5,1
36899,boy really like way kodak make everything easy install use ive instal number printer inkover year one easy,5,1
9079,get mouse pad desk office great plenty pad home every game company existence 1550 icemat razer zowie xtracthis one best,5,1
44028,previously purchase another laminator last week one wonderful image print well preserve lamination also easy use yes wait warm require patience green light tell ready two minute warmup advertisedi happy,5,1
45745,product write personal no digital age download app line page share note seem endless today computer program great way write store note make life much organizedjay adler music critic,5,1
25913,cost set get everything need start family whiteboard come eraser five thin pen windex type solution remove long dry pen mark eraser wontpros thin pen like pen thin allows easily write small whiteboard deal large whiteboard something 35 foot range could see supplement set thicker marker low odor compare regular nonlow odor pen pen give half odor perfect well easy grip front inch half pen rubberize textured grip coat make really easy hold reusable eraser eraser becomes dirty rip top layer felt 9 layer underneath great want keep away excess dustcons large eraser big deal handle rather large negative somewhere put two inch tall might fit easily cramped drawerone interest note unlike windex type spray ive use past clean white board one specific instruction spray liquid let completely dry attempt wipe look like doesnt job time soak dissolve pen inkrecommended,5,1
2065,much say hole reinforcement say brand one stick product reasonable price mainly like convenience deliver,5,1
34989,nice printer claim low print cost true low cost ink cartridge lit last,5,1
46123,stand stand isnt fancy attractive yes little awkward put pen back do kid im go skip stand make mess id always fix pen position im planning store pen pencil box already handthe grip grip pen tell average disposable pen qualitythe color come assortment color include glitter think best described shimmer small speck shimmer ink see strong light downside shimmer rub onto finger bit touch itthe conclusion excite wide variety color girl use scrapbooking journaling,5,1
7544,omg love dad get best left 2 day stayed dry amaze,5,1
21724,hard know write simple product like simply suppose quality product label stick like thats ask fori note couple complaint review alignment problem experience printing still weak link computer system would normally place blame alignment problem software andor printer driver sort precut label especially label small one can not leave lot blank space allow misalignment best way proceed first time print test page blank paper align label sheet hold strong light see alignment problem measure error carefully adjust template save point shouldnt problem change printer,5,1
6629,stapler dependable sturdy fuss stapler teachershome use etc really classic stapler sturdy construction easy load use open close many model play design color etcbut stapler buy want last plain practical,5,1
21093,logitech company deal regular basis day design great functionality customer service thus far excellent first id like say petpeeve company package unit point need chainsaw get logitech go trouble show arrow begin open packaging take less 10 second get unit instruction carry case etc thank logitechwith say give regular presentation device happy help along quite small easily fit either pant shirtjacket pocket usb receiver easy take unit connection computer take minute software issue run vista 64 start play around pdf file work flawlessly green laser dot much visible bright timer option perfect need keep track time limit theyve set set instead check watch youll simply feel vibration presenter know much time elapse much leftthe last issue price logitech product seem price bit might want pay even believe quality speaks least half dozen logitech product regularly use mouse keyboard headphone webcam ive one issue logitech product address replacement return shipping original unit paid arrange logitech well id say price reflective kind quality service receive company case think price might worth,5,1
49755,perfect laminator thin document like photo print paper own one laminator laminator would take forever warm ready laminate one start fairly quick ready little 2 minute one must keep mind laminator require warmup time ive laminate 4x6 photo without problem process delighted kidsthe laminator compact easy operate great laminate lightduty school project ie doublethick paper believe thick paper need highergrade pouch laminator appear able accept simple lamination job little fellow solid job,5,1
26984,sometimes easy tell rather popup tape dispenser stay desk table surface without adhesive exactly suction stay put want remove slide edgeill still use regular scotch tape dispenser us one perfect timeslike wrap giftswhen need one hand hold package another hand pick apply piece tapeoh dispenses convenientsized strip tape reliably easily every timeits another great product 3mand work ive already order refill mine,5,1
20112,dont understand complaint instal label issue see discard first label instal otherwise sticky residue tape stop move machine take second print great order medium size general purpose label easily put bar code several line text single label know save ton time label however bit pricey,5,1
11071,use binding machine time office nice small one like use deskis easy use get hang youve never use comb binder sure read direction firstit punch 15 sheet time single cover make great need quick book reasonable price may want big machine large document timethere storage space comb drawer unit convenient top also fold make easy stash desk drawer,5,1
22039,great bright easyquick view convenienti mail package sometimes weekly people keep address label store envelope index box name tapedstabled envelope well theyre name info need large bright label write type print color really stand color code mail occasional oftenmy husband also use shop size label allow large printingwriting make easy read box store high far end store rooma great product unlimited way use,5,1
25277,briefly ebay sale ship package family dont know printing postage label save money buying postage post office ups store post office free package pickup toopreviously id use avery 5126 label double selfstick label kind wasteful people print one label time improvement 5126 peeloff section plain paper section receipt convenient easy file theyre also tougher plain paper label come averys new trueblock technology whcih mean paste directly exist label printing without worry background show thorughthey feel easily inkjet printer dry fast dont smudge theyre stiff enough dont fold stick youre try stick package ive use store brand label office supply store avery label seem edge smudgeproof something consider youre send 500 package unknown,5,1
34640,glue work well similar productswhat special clog design applicator bottleive use time far good,5,1
7157,im glad see avery deal one annoy problem binderswhen ring dont close together accurately consequently page hand tear open close several time work well closing accurately leave troublesome protrude edgesthis binder wellmade two pocket inside front cover back cover ring shape page turn smoothly also lay flat either inside front cover back coverthe next time market binder shop onehighly recommend,5,1
22341,nice thick label work way theyre suppose todown side need walk work printer didnt husband couldmost use light home office work know use wont issue,5,1
15671,pouch large enough laminate one item case identify want laminate andput together cut laminate dont like waste sheet energy,5,1
14044,reviewer comment small side like bookend see library shelf theyd great keep book lean damage spine dont full shelf booksi use atop bookcase hold dvd take space shelf doubt theyd hold many book especially hardback arent design type usage need large heavy bookend weight offset book dvd cd paperback hold book upright partially fill shelf theyre perfect,5,1
10881,3m whiteboard eraser good job white side eraser clean board well small amount pressure im sure blue side eraser meant clean board doesnt great job likely intend serve sort handle product blue white half meanwhile glue together sponge firmer core give product stabilitythis eraser well job traditional cloth eraser likely last longer wet squeeze sink clean effective,5,1
14339,course first thing attract mouse pad wrist rest gorgeous photo palm tree beautiful well make item also quite practical combine wrist rest great feature mouse pad non slip backing whole item easily clean gel wrist rest provide right amount support prevent wrist fatigue pleased item,5,1
35887,avery page marker exactly someone need want create reference page use mark page magazine book various color allow different reason id page like,5,1
17153,fellowes hot laminate pouch good quality laminate pouch result clear shiny solid pouch look dull prior laminate laminate shiny picturephoto look contrast laminate durable well compatible laminator branda tips1 check pouch thickness need thicker soliddurable2 check laminator machine see pouch thickness compatible with2 make sure align pouch insert laminator machine come straightsidarta tanu,5,1
18841,tab work exactly advertised cheap solution really make work large book accessiblehelpful tip huge cookbook almost big useful use tab mark favorite recipe section everything much easy different color help code everything wellrecommended,5,1
42877,purchase ticket help promote american legion baseball team real hit member also help sponsor team upcoming season,5,1
4654,past sometimes order print gold label use put inside cover book place personal item identify like gold label since present quality appearance problem limitation order print label always limitation font choice amount text line number line seem always want put one two many character line permit well label use design content suit desire wow order pack silver label,5,1
43215,thoughtfully put together spiral bound notebook fit easily backpack purse messenger bag briefcase come divider tab sticky note storage pocket clear protective sleeve weekly agenda whatever page wide rule thick enough dont bleed thru u wan na use side sheet sheet also perforate tear smoothly individually nice recommend,5,1
10536,work perfect boss laptop one much large brings eyelevel perfectly really like,5,1
22274,label really good let apply remove later reorganize file recommend,5,1
7337,instead use countless piece paper son like draw dryerase board color marker allow creativity take picture swipe he free draw something new also like marker come eraser,5,1
48157,scotch expression magic tape versatile tape use craft write pen pencil carefully reposition admit lazy christmas love idea use color cod system gift name peek child get certain color color reveal time open gift little sneaky little lazy love idea plan use christmas,5,1
28654,post note hard screw wish buy office supply,5,1
6289,need something hold stack genealogy paperwork cart great sturdy wheel dont physically carry ream paper one room another room id buy,5,1
36602,postit popup apple dispenserwhen first saw dispenser thought cute also effective dispense popup postit note dispenser weight doesnt move anywhere retrieve postit note fill material sound like bead give rough sand handle apple sound like shaker wish bit quieter fill brim something like sandthe refill method require remove top half clipped onto body apple although think would totally feasible snake new pad without mess lid alloverall 45 star fill material sound loud shaken fill brim fill sand instead although one probably need shake apple much price isnt bad either still look professional work desk general,5,1
40236,pleased paper make farm tree renewable completely work well epson printer jam ream use bleedthru inkjet weight perfect 22 lb,5,1
40940,bought 4 box love send picture holiday card year always cut photo fit envelope envelope slip right avery note card card,5,1
5838,avery hiliter highlighter quality make highlighter true color lasti start use time ago mainly due price use lot highlight go documentsthe 4 color pink green orange yellow look like slide easily paper release ink evenlywhat also great dont bleed paper like cheaper one try use month every day still write quality equaltaking account price much low competitor could fully recommend try highlighter,5,1
46404,nice addition marker collection use design landscape run role play game different color allow well identify aspect map design fact fluorescent black light might allow create secret message map prop pathfinder gamesunfortunately dont access black light moment update review well work,5,1
44202,review base usage scan photograph large client restoration project document however suspect scan document scanner perform flawlessly massive amount photograph epson long leader photograph scan back 2001 remember pay 500 epson photo scanner deal back today epson scanner deliver even well quality affordable price quality sufficient professional photographersbasic scanner specsoptical resolution 4800 dpi epson matrixccdhardware resolution 4800 x 9600 dpi micro step drivemaximum resolution 12800 dpi software interpolationcolor bit depth 48bit internal externalgrayscale bit depth 16bit internal externalmaximum scan area 85 x 117the epson v37 scanner theepson b11b207221 epson perfection v370 color photo scanner b11b207221 scanner without negative transparency capability provide different lid another reviewer aptly note scan negative v370 far well option provide great convenience well image scan negativesmy comparison basis review friend much high spec expensive newepson b11b198011 perfection v600 photo color scanner 6400 x 9600 dpi black epsb11b198011 comparably pricedcanon canoscan 4507b002 lide110 color image scanner reality unfair comparison epson v600 base target resolution bit depth difference need size large printing example need select v600 maintain optimum quality throughout workflow process think major photoshop edit nevertheless exclude resolution difference v37 performs well purpose deliver indistinguishable result end use client deliverydigital workflow professional printing use mpix miller lab meanwhile canoscan slightly less expensive epson v37 deliver visibly low quality photographic image reproduction v37 purpose use exact image bear mind scan image brought photoshop cs6 image edit overall found epson far accurate contrast color replication use hardware color calibrate ip monitor also found canon interface far clunky epson actually uninstalled itas photographic scan especially restoration effort quality preservation finish photograph critical final end result typically without use digital ice correction software matte photograph may present problem often yield appear dust spot due texture matte unlike epson v600 neither v370 v37 come digital ice thus automatically correct issue however usage found v37 good job deal matte still many instance minor photoshop retouch necessary glossy finish image reproduce fine issuesinstallation scanner hardware software window 7 64 bit environment dell inspiron computer advanced user typically install oem software accompanies hardware device however found epson interface epson scan adequate routine use install provide document capture arcsoft software though typically recommend often bloat invasive generally inefficientsummationthe epson v37 v370 offer high quality scan good price require end product large print digital size might worthwhile upgrade scanner along line epson v600 high resolution absent specific need v37 v370 perform incredibly well even professional level photographic quality work,5,1
10042,almost like add machine use office year ago inexpensive print well load easily negative 34red34 handy programmable one year ago werent come ton instruction others may need dont thing need change tax rate instead wad instruction found code online change tax rate1 turn machine print mode 2 press ca button second 3 press hold 34set 34 button till go blank 4 input tax rate 5 press tax 6 press set do sure function easy,5,1
5151,stainless steel ruler near desk several year cork backing help protect desk scratch good straightedge measure occasional impromptu paper trim job desk edge cant round edgethis stood test regular use stash drawer little regard marking remain storefreshnice ruler especially current pricing cant get upscale coffee shop twice cost,5,1
19163,phone fantastic unlike every home phone use erase caller id log one handset era log usually go handsettohandset erase separately sound quality pretty good spot entire house reception bad best phone ever,5,1
27415,love gluesticks buy large size three package use often art project scrapbook get old long run leave gummy strand paper cutout hand table sweet tidy little dispenser roll neat little glue dot without fuss mess worth price big place future,5,1
3170,excellent product nice dark line use less force less hand fatigue much easy see,5,1
36847,neat little packet actually five pad one separate pad different size display vivid color make easy distinguish color bright enough could practically find dark much less clutter desk whether want leave brief note longer missive avery step handle one tidy package without make search around different note pad theyve even make possible tear sheet pad without break whole thing apartsticky note item u use take grant nice see avery continue innovate make convenient attractive ever,5,1
21146,old epson photo printer rx580 happy however last long may go month two without printing certainly dont expect printer become inoperable downtimei purchase new mac replace tablet pc july day ago first time try hook mac could get anything print well troubleshoot test platform realize something wrong unit physically toss garbage look printer local brick mortari half sell get one canon one unit base favorable remark apple forum local store one model canon lesser one want look rest available printer narrow hp another hp one step kicker bluetooth one worth extra 40 since run 80211n network home assume wireless unit 80211 bg like happily mistakengot home unboxed like reviewer say nicely sturdy well built solid home printeras usual download current version software driver rather rely cd current indeed cd supercede download install go fine start nag printer hopped printer set wireless see since actually saw 80211n network sure enough enter encryption key instantly mac found install completedone thing note little paper manual come didnt seem anything regard set unit im go assume detailed instruction probably cd pdf txt file somewhere able get wireless go without documentation touch screen well design extremely simple follow flow printing setup well thought outso printing 4x6 well 8 12 x 11 photo turn excellent superb well hop certainly faster expectedi also add printer love samba especially 8 9 minute first run first time power give status right lcd timer counting know long im assume wiggle printing probably cleaning head parking seal print jobsi havent try duplexer yet reviewer mention scan simple high quality printingafter knew work happy hopped back screen menu checked bluetooth setting add via bluetooth mac minute later printing via bluetoothone surprise actually come usb cable use one something im use see bundle printersanother nice feature front paper load epson toss nice able get paper right front rather feed top back make easy shelf computer armoire dont roll play around try find thing fit back sightthe finish nice mac software work well havent boot window 7 install yet see work would surprised problem window side first hp printer performs last well others happy iti purchase mine without review search since impulse grab store one look wasnt available im glad wasnt one feature work well could hop,5,1
